arabic,german,root,frequency_rank,transliteration,masdar,masdar_transliteration,masdar_german
اِنْدَهَشَ,verblüfft sein,د-ه-ش,1701,indahaša,اِنْدِهَاشٌ,indihāš,die Verblüffung
تَعَجَّبَ,sich wundern,ع-ج-ب,1702,taʿaǧǧaba,تَعَجُّبٌ,taʿaǧǧub,das Staunen/die Verwunderung
تَقْرِيرٌ,Bericht,ق-ر-ر,1703,taqrīr,,,
اِدِّعَاءٌ,Behauptung,د-ع-و,1704,iddiʿāʾ,,,
فَضْلٌ,Verdienst / Güte,ف-ض-ل,1705,faḍl,,,
مَغْرِبٌ,Westen / Sonnenuntergang,غ-ر-ب,1706,maġrib,,,
مَشْرِقٌ,Osten,ش-ر-ق,1707,mašriq,,,
مَوْجَةٌ,Welle,م-و-ج,1708,mawǧa,,,
جَلِيدٌ,Eis,ج-ل-د,1709,ǧalīd,,,
حَرَكَةٌ,Bewegung,ح-ر-ك,1710,ḥaraka,,,
مَلَابِسُ,Kleidung,ل-ب-س,1711,malābis,,,
نَظَّارَةٌ,Brille,ن-ظ-ر,1712,naẓẓāra,,,
صَابُونٌ,Seife,ص-ب-ن,1713,ṣābūn,,,
خِطَابٌ,Rede / Ansprache,خ-ط-ب,1714,ḫiṭāb,,,
بَرْقِيَّةٌ,Telegramm,ب-ر-ق,1715,barqiyya,,,
نَصٌّ,Text,ن-ص-ص,1716,naṣṣ,,,
حُرْمَةٌ,Achtung / Ehre,ح-ر-م,1717,ḥurma,,,
حَيٌّ,Viertel / Bezirk,ح-ي-ي,1718,ḥayy,,,
اِتِّحَادٌ,Vereinigung,و-ح-د,1719,ittiḥād,,,
فَرِيقٌ,Team,ف-ر-ق,1720,farīq,,,
عُضْوٌ,Mitglied,ع-ض-و,1721,ʿuḍw,,,
نَائِبٌ,Stellvertreter,ن-و-ب,1722,nāʾib,,,
مَعِيشَةٌ,Lebensunterhalt,ع-ي-ش,1723,maʿīša,,,
جَوْدَةٌ,Qualität,ج-و-د,1724,ǧawda,,,
مُذَكِّرَةٌ,Notizbuch,ذ-ك-ر,1725,muḏakkara,,,
مَسَارٌ,Verlauf,س-ي-ر,1726,masār,,,
تَقْلِيدٌ,Tradition,ق-ل-د,1727,taqlīd,,,
قُرْبٌ,Nähe,ق-ر-ب,1728,qurb,,,
عُمْقٌ,Tiefe,ع-م-ق,1729,ʿumq,,,
طُولٌ,Länge,ط-و-ل,1730,ṭūl,,,
وَزْنٌ,Gewicht,و-ز-ن,1731,wazn,,,
حَجْمٌ,Volumen,ح-ج-م,1732,ḥaǧm,,,
سُرْعَةٌ,Geschwindigkeit,س-ر-ع,1733,surʿa,,,
مَوْقِعٌ,Position / Standort,و-ق-ع,1734,mawqiʿ,,,
جَانِبٌ,Seite,ج-ن-ب,1735,ǧānib,,,
