arabic,transliteration,german,root
أَنْفَذَ,ʾanfaḏa,ausführen,ن-ف-ذ
أَحَلَّ,ʾaḥalla,erlauben / auflösen,ح-ل-ل
أَخْرَجَ,ʾaḫraǧa,herausholen / ausführen,خ-ر-ج
أَذَاقَ,ʾaḏāqa,kosten lassen,ذ-و-ق
أَرْضَى,ʾarḍā,zufriedenstellen,ر-ض-ي
أَسْرَفَ,ʾasrafa,verschwenden,س-ر-ف
أَصَابَ,ʾaṣāba,treffen / richtig liegen,ص-و-ب
أَضَرَّ,ʾaḍarra,schaden,ض-ر-ر
أَطْعَمَ,ʾaṭʿama,füttern / speisen,ط-ع-م
أَعَانَ,ʾaʿāna,helfen,ع-و-ن
أَغْرَقَ,ʾaġraqa,ertränken,غ-ر-ق
أَقْنَعَ,ʾaqnaʿa,überzeugen,ق-ن-ع
أَلْزَمَ,ʾalzama,verpflichten,ل-ز-م
أَمْكَنَ,ʾamkana,ermöglichen,م-ك-ن
أَوْجَعَ,ʾawǧaʿa,Schmerz zufügen,و-ج-ع
أَوْسَعَ,ʾawsaʿa,erweitern,و-س-ع
اِحْتَجَّ,iḥtaǧǧa,argumentieren / einwenden,ح-ج-ج
اِرْتَدَّ,irtadda,zurückkehren / ablehnen,ر-د-د
اِسْتَبَانَ,istabāna,klar werden / sich zeigen,ب-ي-ن
اِسْتَحَبَّ,istaḥabba,vorziehen,ح-ب-ب
اِسْتَرْشَدَ,istaršada,um Rat bitten,ر-ش-د
اِضْطَرَّ,iḍṭurra,zwingen,ض-ر-ر
اِنْشَغَلَ,inšaġala,beschäftigt sein,ش-غ-ل
اِنْجَرَّ,inǧarra,sich hinziehen / entstehen,ج-ر-ر
اِنْحَصَرَ,inḥaṣara,beschränkt sein,ح-ص-ر
اِنْخَفَضَ,inḫafaḍa,sinken / nachlassen,خ-ف-ض
اِنْسَاقَ,insāqa,geleitet werden,س-و-ق
اِنْقَادَ,inqāda,sich führen lassen,ق-و-د
اِنْكَشَفَ,inkašafa,sich enthüllen,ك-ش-ف
اِنْهَزَمَ,inhazama,besiegt werden,ه-ز-م
اِهْتَدَى,ihtadā,rechtgeleitet sein,ه-د-ي
تَأَسَّفَ,taʾassafa,bedauern / sich entschuldigen,أ-س-ف
تَأَمَّلَ,taʾammala,betrachten / nachdenken,أ-م-ل
تَبَنَّى,tabannā,adoptieren / übernehmen,ب-ن-ي
تَبَاهَى,tabāhā,stolz sein,ب-ه-ي
تَبَرَّعَ,tabarraʿa,spenden,ب-ر-ع
تَجَاهَلَ,taǧāhala,ignorieren / übersehen,ج-ه-ل
تَجَدَّدَ,taǧaddada,sich erneuern,ج-د-د
تَحَقَّقَ,taḥaqqaqa,sich erfüllen / überprüfen,ح-ق-ق
تَحَمَّلَ,taḥammala,ertragen / übernehmen,ح-م-ل
تَخَطَّى,taḫaṭṭā,überschreiten,خ-ط-و
تَخَلَّصَ,taḫallaṣa,loswerden,خ-ل-ص
تَدَاوَلَ,tadāwala,verhandeln / austauschen,د-و-ل
تَرَدَّدَ,taraddada,zögern,ر-د-د
تَزَوَّجَ,tazawwaǧa,heiraten,ز-و-ج
تَشَارَكَ,tašāraka,gemeinsam etwas tun,ش-ر-ك
تَشَكَّرَ,tašakkara,sich bedanken,ش-ك-ر
تَصَدَّقَ,taṣaddaqa,Almosen geben,ص-د-ق
تَصَرَّحَ,taṣarraḥa,öffentlich erklären,ص-ر-ح
تَعَبَّدَ,taʿabbada,anbeten / fromm dienen,ع-ب-د
تَعَذَّرَ,taʿaḏḏara,unmöglich sein,ع-ذ-ر
تَعَمَّدَ,taʿammada,beabsichtigen,ع-م-د
تَعَمَّقَ,taʿammaqa,sich vertiefen,ع-م-ق
تَغَذَّى,taġaḏḏā,sich ernähren,غ-ذ-و
تَفَاخَرَ,tafāḫara,prahlen,ف-خ-ر
تَفَاوَتَ,tafāwata,sich unterscheiden,ف-و-ت
تَكَرَّرَ,takarrara,sich wiederholen,ك-ر-ر
