rank	masdar	masdar_transliteration	masdar_german
1701	اِنْدِهَاشٌ	indihāš	die Verblüffung
1702	تَعَجُّبٌ	taʿaǧǧub	das Staunen/die Verwunderung
1848	إِنْفَاذٌ	ʾinfāḏ	die Ausführung
1849	إِحْلَالٌ	ʾiḥlāl	das Erlaubtmachen/die Auflösung
1850	إِخْرَاجٌ	ʾiḫrāǧ	die Herausnahme/die Ausführung
1851	إِذَاقَةٌ	ʾiḏāqa	das Kostenlassen
1852	إِرْضَاءٌ	ʾirḍāʾ	die Zufriedenstellung
1853	إِسْرَافٌ	ʾisrāf	die Verschwendung
1854	إِصَابَةٌ	ʾiṣāba	das Treffen/die Verletzung
1855	إِضْرَارٌ	ʾiḍrār	die Schädigung
1856	إِطْعَامٌ	ʾiṭʿām	das Füttern/das Speisen
1857	إِعَانَةٌ	ʾiʿāna	die Hilfe/die Unterstützung
1858	إِغْرَاقٌ	ʾiġrāq	das Ertränken/das Versenken
1859	إِقْنَاعٌ	ʾiqnāʿ	die Überzeugung
1860	إِلْزَامٌ	ʾilzām	die Verpflichtung
1861	إِمْكَانٌ	ʾimkān	die Ermöglichung/die Möglichkeit
1862	إِيجَاعٌ	ʾīǧāʿ	das Schmerzzufügen
1863	إِيسَاعٌ	ʾīsāʿ	die Erweiterung
1864	اِحْتِجَاجٌ	iḥtiǧāǧ	der Einwand/das Argumentieren
1865	اِرْتِدَادٌ	irtidād	die Rückwendung/die Ablehnung
1866	اِسْتِبَانَةٌ	istibāna	die Klarheit/das Offenbarwerden
1867	اِسْتِحْبَابٌ	istiḥbāb	das Vorziehen/die Bevorzugung
1868	اِسْتِرْشَادٌ	istiršād	die Bitte um Führung/die Befragung
1869	اِضْطِرَارٌ	iḍṭirār	der Zwang/die Not
1870	اِنْشِغَالٌ	inšiġāl	die Beschäftigung
1871	اِنْجِرَارٌ	inǧirār	das Sich-Hinziehen
1872	اِنْحِصَارٌ	inḥiṣār	die Beschränkung
1873	اِنْخِفَاضٌ	inḫifāḍ	das Sinken/die Senkung
1874	اِنْسِيَاقٌ	insiyāq	das Sich-Führen-Lassen
1875	اِنْقِيَادٌ	inqiyād	das Sich-Fügen/die Gefügigkeit
1876	اِنْكِشَافٌ	inkišāf	die Enthüllung/das Offenbarwerden
1877	اِنْهِزَامٌ	inhizām	die Niederlage
1878	اِهْتِدَاءٌ	ihtidāʾ	das Rechtgeleitetsein/die Rechtleitung
1879	تَأَسُّفٌ	taʾassuf	das Bedauern/die Entschuldigung
1880	تَأَمُّلٌ	taʾammul	die Betrachtung/das Nachdenken
1881	تَبَنٍّ	tabannin	die Adoption/die Übernahme
1882	تَبَاهٍ	tabāhin	das Stolzsein/das Prahlen
1883	تَبَرُّعٌ	tabarruʿ	das Spenden/die Spende
1884	تَجَاهُلٌ	taǧāhul	das Ignorieren/die Gleichgültigkeit
1885	تَجَدُّدٌ	taǧaddud	die Erneuerung
1886	تَحَقُّقٌ	taḥaqquq	die Verwirklichung/die Überprüfung
1887	تَحَمُّلٌ	taḥammul	das Ertragen/die Übernahme
1888	تَخَطٍّ	taḫaṭṭin	das Überschreiten
1889	تَخَلُّصٌ	taḫalluṣ	das Loswerden/die Beseitigung
1890	تَدَاوُلٌ	tadāwul	das Verhandeln/der Austausch
1891	تَرَدُّدٌ	taraddud	das Zögern/das Schwanken
1892	تَزَوُّجٌ	tazawwuǧ	die Heirat
1893	تَشَارُكٌ	tašāruk	das Miteinander-Teilen/die Beteiligung
1894	تَشَكُّرٌ	tašakkur	das Sich-Bedanken
1895	تَصَدُّقٌ	taṣadduq	das Almosengeben/die Mildtätigkeit
1896	تَصَرُّحٌ	taṣarruḥ	das öffentliche Erklären
1897	تَعَبُّدٌ	taʿabbud	die Anbetung/die Frömmigkeit
1898	تَعَذُّرٌ	taʿaḏḏur	das Unmöglichsein/die Erschwerung
1899	تَعَمُّدٌ	taʿammud	die Absicht/die Vorsätzlichkeit
1900	تَعَمُّقٌ	taʿammuq	das Sich-Vertiefen
1901	تَغَذٍّ	taġaḏḏin	die Ernährung
1902	تَفَاخُرٌ	tafāḫur	das Prahlen/die Ruhmsucht
1903	تَفَاوُتٌ	tafāwut	der Unterschied/die Verschiedenheit
1904	تَكَرُّرٌ	takarrur	die Wiederholung
1905	تَكَوُّنٌ	takawwun	die Entstehung
1906	تَلَاشٍ	talāšin	das Verblassen/das Verschwinden
1907	تَهَاوُنٌ	tahāwun	die Nachlässigkeit/die Vernachlässigung
1908	مُجَاوَزَةٌ	muǧāwaza	das Überschreiten/der Übergang
1909	مُحَاسَبَةٌ	muḥāsaba	die Abrechnung
1910	حَجْزٌ	ḥaǧz	die Reservierung
1911	تَخْلِيصٌ	taḫlīṣ	die Rettung/die Erlösung
1912	مُدَاوَمَةٌ	mudāwama	das Fortfahren/die Beharrlichkeit
1913	تَدْبِيرٌ	tadbīr	die Planung/die Verwaltung
1914	تَرْشِيحٌ	taršīḥ	die Nominierung
1915	تَسْمِيَةٌ	tasmiya	die Benennung
1916	تَشْخِيصٌ	tašḫīṣ	die Diagnose/die Identifizierung
1917	تَشْرِيفٌ	tašrīf	die Ehrung
1918	تَصْرِيحٌ	taṣrīḥ	die Erklärung/die Ankündigung
1919	طَرْحٌ	ṭarḥ	das Aufwerfen/die Vorlage
1920	مُعَانَقَةٌ	muʿānaqa	die Umarmung
1921	مُعَاهَدَةٌ	muʿāhada	das Abkommen/die Vereinbarung
1922	مُقَابَلَةٌ	muqābala	die Begegnung/die Gegenüberstellung
1923	مُمَارَسَةٌ	mumārasa	die Ausübung
1924	مَزْجٌ	mazǧ	die Mischung/das Vermischen
1925	نَتْجٌ	natǧ	das Hervorbringen/das Entstehen
1926	تَوْرِيثٌ	tawrīṯ	die Vererbung
1927	يَأْسٌ	yaʾs	die Verzweiflung/die Hoffnungslosigkeit
